Plant Name,Biological Name,Medicinal Uses,latitude and longitude
Aloevera,Aloe barbadensis miller,"* With its anti-inflammatory qualities, the aloe plant is used to cure and relieve some skin diseases, including burns and sores.
* In persons with type 2 diabetes, aloe vera juice and gel both have the potential to reduce fasting blood sugar levels.
* Aloe vera juice contains anthraquinone glycosides. These are plant compounds with laxative effects that could help relieve constipation.
* Aloe vera juice and mouthwash may improve various dental and oral conditions thanks to their potential antibacterial properties.","[""26.2389"",""73.0243""],["" 23.7338"",""69.8601""],[""12.1336"",""78.1582""],[""12.5265"",""78.2138""]"
asthmaplant-toothuvalai,Euphorbia hirta,"* Asthma plants have been used to treat hormone imbalances in women.
* Respiratory conditions including asthma, bronchitis, and couthing, and coyza. 
* It is also used to treat worm infestations. dysentery, jaundice, pimples, gonorrhea, digestive complications, and tumors.
* It is used in traditional medicine for a variety of diseases, such as cough, asthma, colic dysentery and genito-urinary infection.","[""26.2389"",""73.0243""],[""23.7338"",""69.8601""],[""12.1336"",""78.1582""],[""12.5265"",""78.2138""]"
Avaram,Cassia auriculata,"* It is used extensively for preventing and treating urinary distension, renal stones, and painful urination.
* Being a natural laxative, It acts on the peristalsis movement of the faeces through the intestines thereby allowing smooth bowel movement and preventing conditions like constipation.
* Because of analgesic and anti-Inflammatory propertiesit helps in reducing joint and muscle pain, thereby reducing the chances of chronic autoimmune inflammatory diseases like rheumatoid arthritis, gout, etc.
* It is a powerful flowering herb that is highly effective for alleviating diabetes symptoms when taken in recommended doses.","[""11.0168"",""76.9558""],[""9.9312"",""76.2673""],[""12.2958"",""76.6394""],[""17.6868"",""83.2185""]"
baloonvine-mudakathan,Cardiospermum halicacabum,"* It has great anti-ulcer properties. People suffering from acidity will greatly benefit including this in your diet. 
* The water extract has presence of tannins, flavonoids and many more which helps in antidiarrhoeal activity.
* Another interesting property of mudakathan keerai is it’s ability to increase sperm motility and sperm count.
* It also has analgesic properties (pain relieving  properties) which makes it very effective for reducing all kinds of inflammations.","[""11.245056"",""75.775472""],[""16.508759"",""80.618510""],[""10.760325"",""78.708663""],[""18.434644"",""79.132265""]"
Black-HoneyShrub-karupu_nelli,Phyllanthus reticulatus,"* Parts of the plant are used in the treatment of malaria, diabetes, polio, measles, asthma, sore throat, snake bites, anemia, eye diseases, sores, burns, gum bleeding, worms, headaches, and abscesses.
* When compared to toothbrushes, commercial tooth pastes and powders this is eco-friendly & there is no need for toothpates.
* Traditionally used to cure eye soar, bleeding gum (powdered leaves), venereal sores, burns, suppurations and skin-chafes (leaf powder).
* In India, dried bark and leaves decoction are as a diuretic, alterative and for cooling effect and also used for smallpox.","[""11.3410"",""77.7172""],[""10.3684"",""77.9742""],[""10.5276"",""76.2144""],[""11.0837"",""76.0681""]"
butterflypea-sungupuspham,Clitoria ternatea,"* Butterfly pea extracts boosts the levels of a chemical called acetylcholine in their brain which is essential for good brain health.
* Consumption of butterfly pea flower tea can help reduce blood pressure. Peaple with hypertension could consume this.
* It is rich in antioxidants. It can slow down the skin aging process, prevent premature aging
* The antioxidants in blue butterfly pea tea can help relax the stomach muscles, aiding digestion.","[""13.631637"",""79.423171""],[""17.723128"",""83.301284""],[""25.335649"",""83.007629""],[""21.149800"",""79.082100""]"
capegooseberry - pillaithakali,Physalis peruviana,"* It is high in protein and has antihistamine (allergies), anti-carcinogenic (cancer), antiviral, anti-inflammatory and antioxidant properties.
* It has abundant amounts of Vitamin C, Not only is Vitamin C good for your skin, but it also helps in boosting your immunity.
* Apart from Vitamin C, cape gooseberries are also rich in Vitamin A which improves eyesight, and immunity.
* Being high in calcium and phosphorous, these berries help in making your bones stronger.","[""27.316792"",""88.233914""],[""34.001727"",""74.762438""],[""1.345398"",""34.389694""],[""26.733198"",""94.180113""]"
coconut,Cocos Nucifera,"* It might have anti-inflammatory activity (reduces body’s elaborate pain and swelling mechanism).
* It might be an anti-helminthic (removes intestinal worms) agent.
* According to the research, the coconut husk fibre extracts might act as an effective painkiller.
* Tender coconut water also includes vitamin C, which might inhibit lipid peroxidation in rats.","[""9.984080"",""76.274146""],[""12.932446"",""74.981313""],[""12.503564"",""74.990834""],[""8.079252"",""77.549934""]"
coriander,Coriandrum sativum,"* People who have low blood sugar or take diabetes medication should practice caution with coriander because it’s so effective in lowering blood sugar.
* These compounds include terpinene, quercetin, and tocopherols, which may have anticancer, immune-boosting, and neuroprotective effects.
* Coriander extract appears to act as a diuretic, helping your body flush excess sodium and water. This may lower your blood pressure.
* Coriander’s anti-inflammatory properties may safeguard against these diseases.","[""26.912785"",""70.913335""],[""13.340077"",""77.100621""],[""26.460914"",""80.321759""],[""13.083694"",""80.270186""],[""20.011248"",
 ""73.790236""]"
crownflower-erukam,Calotropis gigantea,"* The plant is reported as effective in treating circulatory and neurological disorders and was used to treat fevers, elephantiasis, nausea, vomiting, and diarrhea.
* The milky juice of Calotropis procera was used against arthritis, cancer, and as an antidote for snake bite.
* It can help relieve mild to severe skin woes, and digestive, respiratory, and neurological disorders.
* Crown flowers have anti-diabetic properties which are used to treat diabetes. It has prominent properties that increase insulin sensitivity. ","[""10.760325"",""78.708663""],[""8.079252"",""77.549934""],[""11.001812"",""76.962842""],[""11.942009"",""79.499390""]"
